[2020-08-09 09:58:53,304] acph-aprs-logger.WARNING: ACPH APRS logger starting...
[2020-08-09 10:32:52,486] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:32:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:33:12,456] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:33:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:33:32,430] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:33:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:33:52,595] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:33:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:34:12,567] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:34:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:34:32,541] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:34:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:34:52,505] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:34:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:35:12,474] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:35:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:35:32,451] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:35:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:35:52,416] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:35:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:36:12,617] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:36:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:36:32,553] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:36:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:36:52,531] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:36:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:37:12,480] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:37:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:37:32,451] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:37:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:37:52,400] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:37:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:38:12,599] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:38:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:38:32,586] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:38:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:38:52,551] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:38:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:39:12,574] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:39:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:39:32,568] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:39:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:39:52,538] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:39:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:40:12,504] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:40:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:40:32,490] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:40:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:40:52,451] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:40:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:41:12,415] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:41:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:41:32,618] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:41:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:41:52,582] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:41:52 GMT GLIDERN2 51.68.189.96:14580
